Latitude,Longitude,Ward,Street Name,Source_of_drinking,Processed_for_Drinking,Grey Water Discharge,Presence of Toilet
11.351527,77.53291,1,Kothukaraveethi Thotta paguthigal,Bore well,Personal RO,Directly to soakpit/ sewage canal,Yes
11.356367,77.535168,1,Pillaiyarkovil Veethi Thotta paguthigal,Bore well,Nil,Directly to soakpit/ sewage canal,Yes
11.356803,77.531317,1,Pillaiyarkovil Veethi Thotta paguthigal,Bore well,Nil,Directly to ground,Yes
11.351306,77.532889,1,Pillaiyarkovil Veethi Thotta paguthigal,Bore well,Personal RO,Directly to soakpit/ sewage canal,Yes
11.353855,77.531454,1,Pillaiyarkovil Veethi Thotta paguthigal,Bore well,Nil,Farming/ Gardening,Yes
11.351507,77.537042,1,Kothukaraveethi Thotta paguthigal,Bore well,Nil,Farming/ Gardening,Yes
11.353696,77.531101,1,Pillaiyarkovil Veethi Thotta paguthigal,Bore well,Nil,Directly to ground,Yes
11.352909,77.529159,1,Kothukaraveethi Thotta paguthigal,Bore well,Nil,Directly to soakpit/ sewage canal,Yes
11.353606,77.530993,1,Pillaiyarkovil Veethi Thotta paguthigal,Bore well,Boiling,Directly to ground,Yes
11.343465,77.544208,1,Pillaiyarkovil Veethi Thotta paguthigal,Open well,Boiling,Directly to soakpit/ sewage canal,Yes
11.343465,77.544208,1,Kothukaraveethi Thotta paguthigal,Open well,Personal RO,Directly to soakpit/ sewage canal,Yes
11.358693,77.534764,1,Pillaiyarkovil Veethi Thotta paguthigal,Open well,Boiling,Directly to ground,Yes
11.349904,77.536379,1,Pillaiyarkovil Veethi Thotta paguthigal,Open well,Nil,Directly to soakpit/ sewage canal,Yes
11.356566,77.534025,1,Kothukaraveethi Thotta paguthigal,Open well,Nil,Directly to ground,Yes
11.349707,77.536511,1,Pillaiyarkovil Veethi Thotta paguthigal,Open well,Boiling,Directly to ground,Yes
11.350743,77.53676,1,Pillaiyarkovil Veethi Thotta paguthigal,Open well,Nil,Directly to ground,Yes
11.358306,77.525217,1,Kothukaraveethi Thotta paguthigal,Bore well,Nil,Directly to soakpit/ sewage canal,Yes
11.351713,77.539727,1,Kothukaraveethi Thotta paguthigal,Open well,Nil,Directly to ground,Yes
11.350403,77.531398,1,Pillaiyarkovil Veethi Thotta paguthigal,Open well,Nil,Directly to ground,Yes
11.34697,77.536684,2,Kothukara Veethi Thottapaguthigal,Bore well,Nil,Farming/ Gardening,Yes
