Sl No.,Latitude,Longitude,Ward,Street Name,Type_of_House,Presence_of_well_,Presence_of_overhead,Source_of_drinking,Processed_for_Drinking,Presence_of_farml,If_yes_chemical_f,Crops_grown_in_Na,Specify_the_veget,Fuel_used_for_cook,Vessel_largely_use,Use_of_insectmosq,Grey Water Discharge,Presence of Toilet,Presence_of_septi
1,11.351527,77.53291,1,Kothukaraveethi Thotta paguthigal,Concrete,Both,Yes,Bore well,Personal RO,Yes,Yes,"Rice, Vegetables, Coconut, Banana, Ground nut, Corn, Other crops",,Gobar gas,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
2,11.356367,77.535168,1,Pillaiyarkovil Veethi Thotta paguthigal,Concrete,Both,No,Bore well,Nil,Yes,Yes,"Rice, Vegetables, Coconut, Banana, Ground nut, Other crops",,"Gobar gas, LPG",Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
3,11.356803,77.531317,1,Pillaiyarkovil Veethi Thotta paguthigal,Concrete,Bore well,Yes,Bore well,Nil,Yes,No/ Not known,Vegetables,Brinjal,"Gobar gas, LPG",Pressure cooker,No,Directly to ground,Yes,Yes
4,11.351306,77.532889,1,Pillaiyarkovil Veethi Thotta paguthigal,Concrete,Both,No,Bore well,Personal RO,Yes,No/ Not known,"Rice, Vegetables",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
5,11.353855,77.531454,1,Pillaiyarkovil Veethi Thotta paguthigal,Concrete,Bore well,No,Bore well,Nil,Yes,Yes,"Rice, Vegetables",,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
6,11.351507,77.537042,1,Kothukaraveethi Thotta paguthigal,Concrete,Bore well,Yes,Bore well,Nil,Yes,No/ Not known,"Coconut, Banana",,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
7,11.353696,77.531101,1,Pillaiyarkovil Veethi Thotta paguthigal,Concrete,Bore well,Yes,Bore well,Nil,Yes,No/ Not known,Vegetables,Brinjal,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
8,11.352909,77.529159,1,Kothukaraveethi Thotta paguthigal,Concrete,Both,Yes,Bore well,Nil,Yes,Yes,"Rice, Vegetables, Coconut, Banana, Corn, Ground nut, Other crops",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
9,11.353606,77.530993,1,Pillaiyarkovil Veethi Thotta paguthigal,Concrete,Both,No,Bore well,Boiling,Yes,No/ Not known,"Rice, Vegetables",,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
10,11.343465,77.544208,1,Pillaiyarkovil Veethi Thotta paguthigal,Concrete,Both,No,Open well,Boiling,No,,"Rice, Vegetables",,LPG,SS pot,No,Directly to soakpit/ sewage canal,Yes,Yes
11,11.343465,77.544208,1,Kothukaraveethi Thotta paguthigal,Concrete,Both,No,Open well,Personal RO,Yes,Yes,"Rice, Vegetables, Coconut, Banana, Ground nut, Other crops, Corn",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
