Sample ID,Longitude,Latitude,Turbidity,Iron,Alkalinity,Chloride,Hardness,pH,Fluoride,Nitrate,Nitrite,Ammonia,Phosphate,Calcium,Magnesium
1,77.52784,11.35006,5,0.05,200,36,175,7.5,0.5,0.001,0.0343,0.61,0.612,30,24.3
2,77.53145,11.35594,5,0.1,475,54,375,7.5,1.5,65,0.0343,0.061,0.306,40,66.825
3,77.53156,11.35606,0,0.05,425,144,400,7.5,1,25,0.0343,0.061,0.306,60,60.75
4,77.5328,11.35174,0,0.05,425,90,450,7.5,1.5,10,0.001,0.061,1.53,50,78.975
5,77.53606,11.34993,0,0.05,400,126,625,7.5,1.5,65,0.343,0.061,0.612,50,121.5
6,77.53885,11.3527,0,0.05,325,72,400,7.5,0.5,25,0.0343,0.0366,0.612,70,54.675
7,77.54027,11.35808,0,0.05,275,36,275,7.5,0.5,25,0.001,0.061,0.612,50,36.45
8,77.53752,11.34071,0,0.05,350,72,400,7.5,1,10,0.0343,0.061,0.306,50,66.825
9,77.53664,11.34034,0,0.05,425,54,525,7.5,1.5,10,0.001,0.061,0.612,60,91.125
10,77.54366,11.34,0,0.05,175,54,175,7.5,0.5,0.001,0.001,0.61,0.612,40,18.225
11,77.54368,11.34246,0,0.001,311.2068966,108,375,7,0.001,45,2.744,0.122,0.612,130,12.15
12,77.53703,11.3374,0,0.05,425,54,600,7.5,1,0.001,0.0343,0.001,1.53,120,72.9
13,77.53775,11.33753,0,0.05,200,54,225,7.5,0.5,10,0.001,0.061,0.306,40,30.375
14,77.53771,11.3386,0,0.05,350,72,450,7.5,0.5,0.001,0.0343,0.001,1.53,70,66.825
15,77.54167,11.35296,0,0.05,200,72,275,7.5,0.001,10,0.001,0.061,0.612,90,12.15
16,77.53796,11.36466,0,0.05,200,54,525,7.5,0.5,10,0.001,0.122,1.53,80,78.975
17,77.53785,11.36446,0,0.05,300,72,350,7.5,0.5,10,0.0343,0.122,0.612,40,60.75
18,77.54199,11.35006,0,0.05,350,54,350,7.5,1.5,45,0.001,0.061,0.612,60,48.6
19,77.53897,11.34107,0,0.05,300,72,500,7.5,0.5,0.001,0.0343,0.001,1.53,120,48.6
20,77.54283,11.34143,0,0.05,300,90,400,7.5,1,25,0.0343,7.32,0.153,50,66.825
21,77.54816,11.33718,0,0.05,325,72,475,7.5,0.5,0.001,0.001,0.001,1.53,110,48.6
22,77.5503,11.33484,0,0.05,400,162,675,7.5,0.5,0.001,0.001,0.001,1.53,140,78.975
23,77.53838,11.34364,5,0.05,300,54,25,7.5,0.5,65,0.001,0.061,0.306,40,18.225
24,77.53342,11.34078,0,0.05,325,36,350,7.5,0.5,25,0.001,0.061,0.612,20,72.9
25,77.52898,11.34123,5,0.05,200,54,250,7.5,0.001,25,0.001,0.061,3.06,90,6.075
26,77.53247,11.34045,0,0.05,325,54,325,7.5,0.5,65,0.0343,0.061,0.612,60,42.525
27,77.52193,11.34398,0,0.05,350,180,650,7.5,1,65,0.0343,0.122,0.306,90,103.275
28,77.52218,11.34414,0,0.05,275,144,500,7.5,1,45,0.001,0.061,0.153,50,91.125
29,77.52718,11.33904,0,0.05,225,126,450,7.5,0.5,65,0.0343,0.061,0.612,80,60.75
30,77.52086,11.3381,0,0.05,200,72,250,7.5,0.5,100,1.715,0.061,0.612,40,36.45
